P04217	A1BG
Q9NQ94	A1CF
P01023	A2M
A8K2U0	A2ML1
U3KPV4	A3GALT2
Q9NPC4	A4GALT
Q9UNA3	A4GNT
A6NIZ1	A6NIZ1
A6NN06	A6NN06
A6NNZ2	A6NNZ2
A8MXQ7	A8MXQ7
Q9NRG9	AAAS
Q86V21	AACS
P22760	AADAC
Q8N5Z0	AADAT
Q7RTV5	AAED1
Q6PD74	AAGAB
Q2M2I8	AAK1
Q9H7C9	AAMDC
Q13685	AAMP
Q16613	AANAT
Q9Y312	AAR2
Q4LEZ3	AARD
P49588	AARS
Q5JTZ9	AARS2
Q9BTE6	AARSD1
Q4L235	AASDH
Q9NRN7	AASDHPPT
Q9UDR5	AASS
Q9NY61	AATF
Q6ZMQ8	AATK
P80404	ABAT
O95477	ABCA1
Q8WWZ4	ABCA10
Q86UQ4	ABCA13
Q9BZC7	ABCA2
Q99758	ABCA3
P78363	ABCA4
Q8WWZ7	ABCA5
Q8N139	ABCA6
Q8IZY2	ABCA7
Q8IUA7	ABCA9
P08183	ABCB1
Q9NRK6	ABCB10
O95342	ABCB11
P21439	ABCB4
Q2M3G0	ABCB5
Q9NP58	ABCB6
O75027	ABCB7
Q9NUT2	ABCB8
Q9NP78	ABCB9
P33527	ABCC1
Q5T3U5	ABCC10
Q96J65	ABCC12
Q92887	ABCC2
O15438	ABCC3
O15439	ABCC4
O15440	ABCC5
O95255	ABCC6
Q09428	ABCC8
O60706	ABCC9
P33897	ABCD1
Q9UBJ2	ABCD2
P28288	ABCD3
O14678	ABCD4
P61221	ABCE1
Q8NE71	ABCF1
Q9UG63	ABCF2
Q9NUQ8	ABCF3
P45844	ABCG1
Q9UNQ0	ABCG2
Q9H172	ABCG4
Q9H222	ABCG5
Q9H221	ABCG8
Q96SE0	ABHD1
Q9NUJ1	ABHD10
Q8NFV4	ABHD11
Q8N2K0	ABHD12
Q7Z5M8	ABHD12B
Q9BUJ0	ABHD14A
Q96IU4	ABHD14B
Q6UXT9	ABHD15
O95870	ABHD16A
Q96GS6	ABHD17A
Q0P651	ABHD18
P08910	ABHD2
Q8WU67	ABHD3
Q8TB40	ABHD4
Q8WTS1	ABHD5
Q9BV23	ABHD6
Q8IZP0	ABI1
Q9NYB9	ABI2
Q9P2A4	ABI3
Q7Z7G0	ABI3BP
P00519	ABL1
P42684	ABL2
O14639	ABLIM1
Q6H8Q1	ABLIM2
O94929	ABLIM3
P16442	ABO
Q12979	ABR
Q8N0Z2	ABRA
Q9P1F3	ABRACL
Q9ULW3	ABT1
Q969K4	ABTB1
Q8N961	ABTB2
P09110	ACAA1
P42765	ACAA2
Q13085	ACACA
O00763	ACACB
Q6JQN1	ACAD10
Q709F0	ACAD11
Q9UKU7	ACAD8
Q9H845	ACAD9
P28330	ACADL
P11310	ACADM
P16219	ACADS
P45954	ACADSB
P49748	ACADVL
P16112	ACAN
Q15027	ACAP1
Q15057	ACAP2
Q96P50	ACAP3
P24752	ACAT1
Q9BWD1	ACAT2
Q9H3P7	ACBD3
Q8NC06	ACBD4
Q5T8D3	ACBD5
Q9BR61	ACBD6
Q96QU6	ACCS
Q96AP0	ACD
P12821	ACE
Q9BYF1	ACE2
Q8TDN7	ACER1
Q5QJU3	ACER2
Q9NUN7	ACER3
P22303	ACHE
Q9UKV3	ACIN1
Q16570	ACKR1
O00590	ACKR2
P25106	ACKR3
Q9NPB9	ACKR4
P53396	ACLY
Q8TDX5	ACMSD
P21399	ACO1
Q99798	ACO2
Q86TX2	ACOT1
Q8WXI4	ACOT11
Q8WYK0	ACOT12
Q9NPJ3	ACOT13
P49753	ACOT2
Q8N9L9	ACOT4
O00154	ACOT7
O14734	ACOT8
Q9Y305	ACOT9
Q15067	ACOX1
Q99424	ACOX2
O15254	ACOX3
P24666	ACP1
P11117	ACP2
P13686	ACP5
Q9NPH0	ACP6
P15309	ACPP
P10323	ACR
P26436	ACRV1
Q96GR2	ACSBG1
Q5FVE4	ACSBG2
Q96CM8	ACSF2
Q4G176	ACSF3
P33121	ACSL1
O95573	ACSL3
O60488	ACSL4
Q9ULC5	ACSL5
Q9UKU0	ACSL6
Q08AH1	ACSM1
Q08AH3	ACSM2A
Q68CK6	ACSM2B
Q53FZ2	ACSM3
P0C7M7	ACSM4
Q6NUN0	ACSM5
Q6P461	ACSM6
Q9NUB1	ACSS1
Q9NR19	ACSS2
Q9H6R3	ACSS3
P68133	ACTA1
P62736	ACTA2
P60709	ACTB
Q562R1	ACTBL2
P68032	ACTC1
P63261	ACTG1
P63267	ACTG2
O96019	ACTL6A
O94805	ACTL6B
Q9Y615	ACTL7A
Q9Y614	ACTL7B
Q9H568	ACTL8
Q8TC94	ACTL9
P12814	ACTN1
P35609	ACTN2
Q08043	ACTN3
O43707	ACTN4
Q9NZ32	ACTR10
P61163	ACTR1A
P42025	ACTR1B
P61160	ACTR2
P61158	ACTR3
Q9P1U1	ACTR3B
Q9C0K3	ACTR3C
Q9H9F9	ACTR5
Q9GZN1	ACTR6
Q9H981	ACTR8
Q8TDG2	ACTRT1
Q8TDY3	ACTRT2
Q9BYD9	ACTRT3
Q04771	ACVR1
P36896	ACVR1B
Q8NER5	ACVR1C
P27037	ACVR2A
Q13705	ACVR2B
P37023	ACVRL1
Q03154	ACY1
Q96HD9	ACY3
P07311	ACYP1
P14621	ACYP2
P00813	ADA
Q8NCV1	ADAD2
Q6DHV7	ADAL
O14672	ADAM10
O75078	ADAM11
O43184	ADAM12
Q13444	ADAM15
P78536	ADAM17
Q9H013	ADAM19
Q99965	ADAM2
O43506	ADAM20
Q9UKJ8	ADAM21
Q9P0K1	ADAM22
O75077	ADAM23
Q9UKQ2	ADAM28
Q9UKF5	ADAM29
Q9UKF2	ADAM30
Q9BZ11	ADAM33
Q6NVV9	ADAM5
P78325	ADAM8
Q13443	ADAM9
Q9UHI8	ADAMTS1
Q9H324	ADAMTS10
P58397	ADAMTS12
Q76LX8	ADAMTS13
Q8WXS8	ADAMTS14
Q8TE57	ADAMTS16
Q8TE56	ADAMTS17
O95450	ADAMTS2
P59510	ADAMTS20
O15072	ADAMTS3
O75173	ADAMTS4
